"ItemId","Name","SearchUrl"
"79317","Beastmaster's Whistle: Forest Spider","https://db.ascension.gg/?item=79317"
"79337","Beastmaster's Whistle: Timber Wolf","https://db.ascension.gg/?item=79337"
"79345","Beastmaster's Whistle: Stonetusk Boar","https://db.ascension.gg/?item=79345"
"79348","Beastmaster's Whistle: Greater Fleshripper","https://db.ascension.gg/?item=79348"
"79373","Beastmaster's Whistle: Young Stranglethorn Tiger","https://db.ascension.gg/?item=79373"
"79377","Beastmaster's Whistle: Stranglethorn Raptor","https://db.ascension.gg/?item=79377"
"79392","Beastmaster's Whistle: Young Forest Bear","https://db.ascension.gg/?item=79392"
"79393","Beastmaster's Whistle: Sand Crawler","https://db.ascension.gg/?item=79393"
"79418","Beastmaster's Whistle: Sawtooth Crocolisk","https://db.ascension.gg/?item=79418"
"79423","Beastmaster's Whistle: Mistvale Gorilla","https://db.ascension.gg/?item=79423"
"79465","Beastmaster's Whistle: Duskbat","https://db.ascension.gg/?item=79465"
"79497","Beastmaster's Whistle: Strigid Owl","https://db.ascension.gg/?item=79497"
"79519","Beastmaster's Whistle: Strider Clutchmother","https://db.ascension.gg/?item=79519"
"79542","Beastmaster's Whistle: Snapjaw","https://db.ascension.gg/?item=79542"
"79601","Beastmaster's Whistle: Scorpid Worker","https://db.ascension.gg/?item=79601"
"79615","Beastmaster's Whistle: Thunderhawk Hatchling","https://db.ascension.gg/?item=79615"
"79630","Beastmaster's Whistle: Sewer Beast","https://db.ascension.gg/?item=79630"
"79657","Beastmaster's Whistle: Fledgling Chimaera","https://db.ascension.gg/?item=79657"
"79666","Beastmaster's Whistle: Hecklefang Hyena","https://db.ascension.gg/?item=79666"
"79669","Beastmaster's Whistle: Silithid Ravager","https://db.ascension.gg/?item=79669"
"79689","Beastmaster's Whistle: Bloodfen Raptor","https://db.ascension.gg/?item=79689"
"79751","Beastmaster's Whistle: Deviate Adder","https://db.ascension.gg/?item=79751"
"79757","Beastmaster's Whistle: Murk Worm","https://db.ascension.gg/?item=79757"
"79892","Beastmaster's Whistle: Devilsaur","https://db.ascension.gg/?item=79892"
"79893","Beastmaster's Whistle: Ironhide Devilsaur","https://db.ascension.gg/?item=79893"
"80034","Beastmaster's Whistle: Chillwind Ravager","https://db.ascension.gg/?item=80034"
"80063","Beastmaster's Whistle: Felpaw Wolf","https://db.ascension.gg/?item=80063"
"80088","Beastmaster's Whistle: Spire Spiderling","https://db.ascension.gg/?item=80088"
"80096","Beastmaster's Whistle: Soulflayer","https://db.ascension.gg/?item=80096"
"80098","Beastmaster's Whistle: Zulian Tiger","https://db.ascension.gg/?item=80098"
"80099","Beastmaster's Whistle: Zulian Panther","https://db.ascension.gg/?item=80099"
"80106","Beastmaster's Whistle: Ancient Core Hound","https://db.ascension.gg/?item=80106"
"80297","Beastmaster's Whistle: Feral Dragonhawk Hatchling","https://db.ascension.gg/?item=80297"
"80343","Beastmaster's Whistle: Vale Moth","https://db.ascension.gg/?item=80343"
"80353","Beastmaster's Whistle: Goretooth","https://db.ascension.gg/?item=80353"
"80354","Beastmaster's Whistle: Ravager Specimen","https://db.ascension.gg/?item=80354"
"80474","Beastmaster's Whistle: The Kurken","https://db.ascension.gg/?item=80474"
"80525","Beastmaster's Whistle: Bloodfalcon","https://db.ascension.gg/?item=80525"
"80607","Beastmaster's Whistle: Cobalt Serpent","https://db.ascension.gg/?item=80607"
"80649","Beastmaster's Whistle: Blackwind Sabercat","https://db.ascension.gg/?item=80649"
"82368","Summoner's Stone: Aligar the Tormentor","https://db.ascension.gg/?item=82368"
"82370","Summoner's Stone: Caedakar the Vicious","https://db.ascension.gg/?item=82370"
"82734","Summoner's Stone: Razelikh the Defiler","https://db.ascension.gg/?item=82734"
"82777","Summoner's Stone: Xabraxxis","https://db.ascension.gg/?item=82777"
"82780","Summoner's Stone: Balnazzar","https://db.ascension.gg/?item=82780"
"82875","Summoner's Stone: Demon Spirit","https://db.ascension.gg/?item=82875"
"82983","Summoner's Stone: Xorothian Dreadsteed","https://db.ascension.gg/?item=82983"
"84106","Summoner's Stone: Ekkorash the Inquisitor","https://db.ascension.gg/?item=84106"
"84301","Summoner's Stone: Doomcryer","https://db.ascension.gg/?item=84301"
"84496","Summoner's Stone: Wrathbringer Laz-tarash","https://db.ascension.gg/?item=84496"
"85155","Summoner's Stone: Illidari Satyr","https://db.ascension.gg/?item=85155"
"85209","Summoner's Stone: Galvanoth","https://db.ascension.gg/?item=85209"
"85246","Summoner's Stone: Matron Li-sahar","https://db.ascension.gg/?item=85246"
"85247","Summoner's Stone: Gorgolon the All-seeing","https://db.ascension.gg/?item=85247"
"85257","Summoner's Stone: Trelopades","https://db.ascension.gg/?item=85257"
"85586","Summoner's Stone: Braxxus","https://db.ascension.gg/?item=85586"
"85637","Summoner's Stone: Zarcsin","https://db.ascension.gg/?item=85637"
"85718","Blood Soaked Vellum: Flesh Eater","https://db.ascension.gg/?item=85718"
"85719","Blood Soaked Vellum: Skeletal Warrior","https://db.ascension.gg/?item=85719"
"85723","Blood Soaked Vellum: Eliza","https://db.ascension.gg/?item=85723"
"86072","Blood Soaked Vellum: Bleeding Horror","https://db.ascension.gg/?item=86072"
"86078","Blood Soaked Vellum: Lost Soul","https://db.ascension.gg/?item=86078"
"86105","Blood Soaked Vellum: Devlin Agamand","https://db.ascension.gg/?item=86105"
"86488","Blood Soaked Vellum: Searing Ghoul","https://db.ascension.gg/?item=86488"
"480382","Beastmaster's Whistle: Captain Claws","https://db.ascension.gg/?item=480382"
"600867","Elemental Lodestone: Al'ar","https://db.ascension.gg/?item=600867"
"600878","Elemental Lodestone: Hydross the Unstable","https://db.ascension.gg/?item=600878"
"601009","Elemental Lodestone: Surging Water Elemental","https://db.ascension.gg/?item=601009"
"601067","Elemental Lodestone: Swamp Spirit","https://db.ascension.gg/?item=601067"
"601102","Elemental Lodestone: Plague Shambler","https://db.ascension.gg/?item=601102"
"601664","Elemental Lodestone: Bloodpetal Thirster","https://db.ascension.gg/?item=601664"
"601677","Elemental Lodestone: Stone Warden","https://db.ascension.gg/?item=601677"
"603976","Elemental Lodestone: Silver Golem","https://db.ascension.gg/?item=603976"
"1180288","Draconic Warhorn: Sleeping Dragon","https://db.ascension.gg/?item=1180288"
"1180317","Draconic Warhorn: Chromatic Whelp","https://db.ascension.gg/?item=1180317"
"1180320","Draconic Warhorn: Chromatic Dragonspawn","https://db.ascension.gg/?item=1180320"
"1180510","Draconic Warhorn: Blackscale","https://db.ascension.gg/?item=1180510"
"1180511","Draconic Warhorn: Blackscale","https://db.ascension.gg/?item=1180511"
"1180526","Draconic Warhorn: Infinite Whelp","https://db.ascension.gg/?item=1180526"
"1180599","Draconic Warhorn: Smolderwing","https://db.ascension.gg/?item=1180599"
"1180833","Draconic Warhorn: Tempus Wyrm","https://db.ascension.gg/?item=1180833"
